ich,I
weiß,woaß
nicht,net
für,foa
gehe,geh
ein,a
eine,a
einen,a
einer,a
eines,a
gescheit,gschied
öffentliche Verkehrsmittel,Öffis
Ärgere mich nicht,Pflanz mi net.
Ärger,Zores
zähe,zach
Zuwanderer,Zuagrasta
zurechtweisen,driberfahr`n
zur Sache kommen,Tacheles reden
zum Narren halten,pflanz`n
zu einem Zopf geflochtenes Weißgebäck,Strietzl
Zigarette,Tschick
Witz,Schmäh
Willst du Streit?,Wüst an Kelch?
wertlose Gegenstände,Klumpert
Wenn etwas nicht funktioniert,Des is a Schass
Weißkohl,Kraut
Weinlokal,Heuriger
weinen,plärr`n
WC,Häusl
Was willst du?,Wos wüst?
Vormittagsjause,Gabelfrühstück
Brotzeit,Gabelfrühstück
viereckige Mehlspeise aus Plunderteig mit Quark,Golatschn
viel essen,einehaun
schmeicheln,einehaun
verärgert,grantig
mißmutig,grantig
verzweifelt,desperat
Verschwinde!,Geh Di brausn!
Verschwinde!,Mach an Schuach
Verschwinde!,Schleich Di!
Verkaufsstand,Standl
verkaufen,verscherbeln
verführen,vernosch`n
unvergorener Traubensaft,Most
ungezogenes Kind,Fratz
umzäunter Fußballplatz,Käfig
Tüte,Sackarl
Treppe,Stiege
Tomate,Paradeiser
tollpatschig,patschert
ungeschickt,patschert
Tischfußballspiel,Wuzzler
Taxifahrer,Taxler
Tabakwarengeschäft,Trafik
T-Shirt,Leiberl
Unterhemd,Leiberl
stürzena, Brezn reissn
hinfallen,a Brezn reissn
Stuhl,Sess´l
Streichhölzer,Zinder
Straßenbahn,Bim
stehlen,fladern
berauben,fladern
Stechmücke,Gelse
starker Raucher,Giftler
Drogenabhängiger,Giftler
Stangenbohnen,Fisol`n
Stadium der Gärung von Traubensaft zum Wein,Sturm
Spüle,Abwasch
Spätzle.,Nockerln
sprachlos,baff
erstaunt,baff
sich herumtreiben,strawanz`n
vagabundieren,strawanz`n
Semmelbrösel,Brösel
Paniermehl,Brösel
Sei still!,Halt die Goschn!
sehr heftig lachen,zerwutzeln
amüsieren,zerwutzeln
Schweinsbraten,Bratl
Schwarzarbeiter,Pfuscher
Schrank,Kasten
Schornsteinfeger,Rauchfangkehrer
Schorle,G'spritzter
schnell,gach
Schnapsglas,Stamperl
Schlagsahne,Schlagobers
schlagen,pracken
hauen,pracken
schlafen,mützeln
saure Sahne,Sauerrahm
Sahne,Rahm
Rührei,Eierspeis´
rollen,wuzeln
drehen,wuzeln
Rahm,Obers
Sahne,Obers
Ragout,G´schnetzelt`s
Quark,Topfn
Polizist,Kieberer
plaudern,plauschen
Platz vor einem Gasthaus,Schanigarten
Pflaumenmus,Powidl
Pflaumenmarmelade,Powidl
Pflaumenkompott,Zwetschknrester
Pflaume,Zwetschkn
Pfannkuchen,Palatschinkn
Pantoffeln,Schlapfen
Paniermehl,Semmelbresel
paktieren,packeln
Orangensaft,Cappy
Ohrfeige,Watsche
Obdachloser,Sandler
Nebenstelle,Klappe
Napfkuchen,Guglhupf
nackt,nackert
nachdenklich sein,sinnier’n
Möhre,Karottn
Mund,Goschn
Mund,Pappn
Mißgeschick,Hoppala
mittelgroße Tasse,Häferl
mit dem Hund Gassi gehen,äußerln gehen
Trödel,Ramsch
minderwertige Ware,Ramsch
Meerrettich,Kren
Mais,Kukuruz
