ich,I
weiß,woaß
nicht,net
für,foa
gescheit, gschied
Über etwas lustig machen;eher schadenfroh.,I hau mi o.
öffentliche Verkehrsmittel,Öffis
ärgern. gift di net = ärgere dicht nicht,gift`n
Ärgere mich nicht oder halt mich nicht für dumm.,Pflanz mi net.
Ärger;Streit,Wüst an Wickl?
Ärger,Zores
zähe,zach
Zuwanderer,Zuagrasta
zurechtweisen,driberfahr`n
zur Sache kommen,Tacheles reden
zum Narren halten,pflanz`n
zu einem Zopf geflochtenes Weißgebäck,Strietzl
Zigarette,Tschick
Witz; Unwahrheit,Schmäh
Willst du Streit?,Wüst an Kelch?
Willkommens- oder Abschiedsgruß,Servus!
Wiener Würstchen,Frankfurter
wertlose Gegenstände;Gerümpel,Klumpert
Wenn etwas nicht funktioniert.,Des is a Schass.
Weißkohl,Kraut
Weinlokal,Heuriger
weinen,plärr`n
WC,Häusl
Was willst du?,Wos wüst?
Vormittagsjause;Brotzeit,Gabelfrühstück
viereckige Mehlspeise aus Plunderteig mit Quark,Golatschn
viel essen;schmeicheln,einehaun
verärgert;mißmutig,grantig
verzweifelt,desperat
Verschwinde!,Geh Di brausn!
Verschwinde!,Mach an Schuach
Verschwinde!,Schleich Di!
Verkaufsstand,Standl
verkaufen,verscherbeln
verführen,vernosch`n
unvergorener Traubensaft; vergorener Saft aus Äpfeln und Birnen,Most
ungezogenes Kind,Fratz
umzäunter Fußballplatz,Käfig
Tüte,Sackarl
Treppe,Stiege
Tomate,Paradeiser
tollpatschig;ungeschickt,patschert
Tischfußballspiel,Wuzzler
Taxifahrer,Taxler
Tabakwarengeschäft,Trafik
T-Shirt;Unterhemd,Leiberl
stürzen;hinfallen,a Brezn reissn
Stuhl,Sess´l
Streichhölzer,Zinder
Straßenbahn,Bim
stehlen;berauben,fladern
Stechmücke,Gelse
starker Raucher; Drogenabhängiger,Giftler
Stangenbohnen,Fisol`n
Stadium der Gärung von Traubensaft zum Wein,Sturm
Spüle,Abwasch
Spätzle.,Nockerln
sprachlos;erstaunt,baff
sich herumtreiben;vagabundieren,strawanz`n
Semmelbrösel;Paniermehl,Brösel
Sei still!,Halt die Goschn!
sehr heftig lachen;amüsieren,zerwutzeln
Schweinsbraten,Bratl
Schwarzarbeiter,Pfuscher
Schrank,Kasten
Schornsteinfeger,Rauchfangkehrer
Schorle,G'spritzter
schnell,gach
Schnapsglas;2 cl,Stamperl
Schlagsahne,Schlagobers
schlagen;hauen,pracken
schlafen,mützeln
saure Sahne,Sauerrahm
Sahne,Rahm
Rührei,Eierspeis´
rollen;hin und her wälzen;drehen,wuzeln
Rahm;Sahne,Obers
Ragout,G´schnetzelt`s
Quark,Topfn
Polizist,Kieberer
plaudern,plauschen
Platz vor einem Wirts- bzw. Gasthaus,Schanigarten
Pflaumenmus;Pflaumenmarmelade,Powidl
Pflaumenkompott,Zwetschknrester
Pflaume,Zwetschkn
Pfannkuchen,Palatschinkn
Pantoffeln,Schlapfen
Paniermehl,Semmelbresel
paktieren;geheime Geschäfte machen,packeln
Orangensaft,Cappy
Ohrfeige,Watsche
Obdachloser,Sandler
Nebenstelle,Klappe
Napfkuchen,Guglhupf
nackt,nackert
nachdenklich sein,sinnier’n
Möhre,Karottn
Mund,Goschn
Mund,Pappn
Mißgeschick,Hoppala
mittelgroße Tasse,Häferl
